[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[GJ Bailey (AUS), 40.58, 83.51, 35.812, 25.88235]
[SD Hope (WI), 52.75, 74.32, 44.881, 22.38806]
[V Sibanda (Afr/ZIM), 24.54, 63.48, 23.762, 16.66667]
[DJ Bravo (WI), 25.36, 82.3, 21.050, 7.09220]
[AM Rahane (INDIA), 35.26, 78.63, 34.046, 27.58621]
[HH Streak (Afr/ZIM), 28.29, 73.42, 18.509, 8.17610]
[WW Hinds (WI), 28.51, 65.55, 25.946, 12.61261]
[GJ Maxwell (AUS), 32.32, 123.37, 28.770, 19.00000]
[JM Bairstow (ENG), 47.68, 104.07, 42.074, 16.17647]
[DM Bravo (WI), 30.85, 70.18, 27.038, 17.14286]
[IJL Trott (ENG), 51.25, 77.06, 43.369, 33.84615]
[AL Logie (WI), 28.95, 73.9, 21.120, 10.52632]
[AH Jones (NZ), 35.69, 57.86, 32.000, 28.73563]
[Mohammad Nabi (AFG), 27.82, 85.54, 24.839, 13.39286]
[SE Marsh (AUS), 40.77, 81.41, 38.514, 20.83333]
[M Kaif (INDIA), 32.01, 72.03, 25.027, 15.45455]
[SV Carlisle (ZIM), 27.67, 63.35, 25.607, 8.41121]
[MDKJ Perera (SL), 31.12, 93, 29.452, 15.05376]
[Mohammad Shahzad (AFG), 33.66, 88.48, 32.464, 16.66667]
[Salman Butt (PAK), 36.82, 76.28, 34.936, 17.94872]
[RG Twose (NZ), 38.81, 75.4, 33.543, 24.69136]
[GJ Whittall (ZIM), 22.54, 67.43, 19.049, 7.74648]
[RS Bopara (ENG), 30.62, 77.84, 24.725, 12.84404]
[BA Stokes (ENG), 40.63, 93.94, 33.111, 24.69136]
[Sikandar Raza (ZIM), 34.05, 81.74, 28.559, 15.05376]
[Mudassar Nazar (PAK), 25.26, 51.71, 23.070, 13.91304]
[EC Joyce (ENG/IRE), 38, 72.23, 34.052, 19.48052]
[Ahmed Shehzad (PAK), 32.56, 72.08, 32.160, 17.28395]
[NJ O'Brien (IRE), 28.05, 70.94, 25.554, 17.82178]
[Zaheer Abbas (PAK), 47.62, 84.8, 42.867, 21.66667]
[CR Ervine (ZIM), 32.54, 75.48, 28.567, 16.66667]
[AC Hudson (SA), 29.41, 64.62, 29.080, 20.45455]
[TWM Latham (NZ), 32.27, 82.36, 28.977, 17.04545]
[VG Kambli (INDIA), 32.59, 71.94, 25.536, 14.43299]
[Imrul Kayes (BDESH), 32.02, 71.1, 31.205, 20.51282]
[JDP Oram (NZ), 24.09, 86.61, 20.983, 11.20690]
[TM Odoyo (Afr/KENYA), 23.49, 70.38, 20.336, 6.72269]
[AD Hales (ENG), 37.79, 95.72, 36.104, 20.89552]
[RA Smith (ENG), 39.01, 69.65, 34.557, 21.42857]
[L Vincent (NZ), 27.11, 69.88, 24.374, 11.11111]
[KJ Coetzer (SCOT), 43.8, 86.18, 42.263, 29.82456]
[KA Pollard (WI), 26.06, 94.14, 24.222, 10.10101]
[CJ Chibhabha (ZIM), 23.65, 63.13, 23.194, 15.53398]
[GP Thorpe (ENG), 37.18, 71.17, 30.909, 27.27273]
[Rahmat Shah (AFG), 35.2, 70.08, 34.188, 23.18841]
[Asghar Afghan (AFG), 24.54, 66.72, 22.438, 11.42857]
[VVS Laxman (INDIA), 30.76, 71.23, 28.169, 12.04819]
[RR Singh (INDIA), 25.95, 74.3, 20.673, 7.96460]
[N Hussain (ENG), 30.28, 66.99, 26.805, 18.39080]
[GS Chappell (AUS), 40.18, 75.7, 32.375, 19.44444]
[Sarfaraz Ahmed (PAK), 33.85, 87.79, 25.578, 12.22222]
[SL Campbell (WI), 26.24, 59.25, 26.241, 16.09195]
[DL Vettori (ICC/NZ), 17.33, 82.98, 12.048, 2.13904]
[S Matsikenyeri (ZIM), 22.01, 72.39, 20.218, 11.81818]
[GM Wood (AUS), 33.62, 59.57, 28.818, 14.28571]
