[Name, Average, StrikeRate, AveragePerInnings, PercentageOfScoring50]
[RN Lewis (WI), 18.18, 79.29, 13.857, 0.00000]
[DA Reeve (ENG), 24.25, 74.8, 13.857, 0.00000]
[CS Pandit (INDIA), 20.71, 72.5, 12.609, 0.00000]
[Sanwar Hossain (BDESH), 11.6, 48.57, 10.741, 3.70370]
[SMSM Senanayake (SL), 13.18, 93.24, 8.788, 0.00000]
[JN Gillespie (AUS), 12.56, 78.53, 7.410, 0.00000]
[IDR Bradshaw (WI), 12.47, 59.79, 8.441, 0.00000]
[KM Curran (ZIM), 26.09, 66.74, 26.091, 18.18182]
[LG Howell (NZ), 23.91, 73.96, 23.917, 33.33333]
[MK Tiwary (INDIA), 26.09, 71.21, 23.917, 8.33333]
[D Lloyd (ENG), 40.71, 54.18, 35.625, 0.00000]
[VJ Marks (ENG), 13.57, 65.66, 11.875, 0.00000]
[JAR Blain (SCOT), 14.94, 54.93, 11.360, 0.00000]
[NO Miller (WI), 20.28, 79.1, 10.519, 3.70370]
[LP van Troost (NL), 15.77, 62.28, 14.200, 0.00000]
[A Dananjaya (SL), 12.86, 68.85, 10.481, 3.70370]
[MA Holding (WI), 9.09, 74.8, 6.714, 4.76190]
[MA Jones (SCOT), 35.12, 70.07, 35.125, 37.50000]
[Hasan Ali (PAK), 14, 113.36, 9.655, 6.89655]
[S Randiv (SL), 17.5, 73.29, 15.556, 5.55556]
[CL King (WI), 23.33, 104.86, 20.000, 7.14286]
[RS Sodhi (INDIA), 25.45, 73.49, 20.000, 14.28571]
[DJ Willey (ENG), 18.6, 82.3, 10.333, 3.70370]
[KC Brathwaite (WI), 27.8, 57.55, 27.800, 10.00000]
[JE Taylor (WI), 8.42, 86.06, 6.619, 0.00000]
[AV Vadher (KENYA), 27.8, 54.29, 17.375, 12.50000]
[Mehrab Hossain jnr (BDESH), 17.25, 42.99, 17.250, 6.25000]
[JM Anderson (ENG), 7.58, 48.66, 3.456, 0.00000]
[DT Christian (AUS), 21, 88.92, 15.167, 0.00000]
[GH Worker (NZ), 34, 71.76, 27.200, 30.00000]
[SW Billings (ENG), 22.58, 90.93, 22.583, 16.66667]
[JW Hastings (AUS), 27.1, 99.26, 12.905, 4.76190]
[DT Tiripano (ZIM), 16.93, 57.9, 12.318, 0.00000]
[Umar Amin (PAK), 18.06, 69.13, 16.938, 6.25000]
[AM Bacher (SA), 20.76, 57.56, 20.769, 7.69231]
[Jahurul Islam (BDESH), 22.5, 72.77, 20.769, 7.69231]
[KBJ Azad (INDIA), 14.15, 67.25, 12.810, 0.00000]
[AD Gaekwad (INDIA), 20.69, 52.84, 19.214, 7.14286]
[AW Greig (ENG), 16.81, 71.16, 14.158, 0.00000]
[M Morkel (Afr/SA), 9.24, 75.7, 5.702, 0.00000]
[Aaqib Javed (PAK), 10.68, 58.55, 5.235, 0.00000]
[Shamsur Rahman (BDESH), 26.6, 76, 26.600, 20.00000]
[CA Soper (PNG), 17.66, 53.42, 13.947, 0.00000]
[JM Vince (ENG), 24.09, 88.62, 24.091, 9.09091]
[Afsar Zazai (AFG), 17.6, 54.09, 16.500, 12.50000]
[MH Denness (ENG), 29.33, 63.3, 24.000, 9.09091]
[S Jyoti (CAN), 22, 59.72, 20.308, 0.00000]
[SP Patil (UAE), 26.3, 65.09, 21.917, 16.66667]
[HJW Gardiner (SCOT), 23.81, 66.16, 23.818, 18.18182]
[Mohammad Saifuddin (BDESH), 29.11, 81.36, 21.833, 16.66667]
[Naved Latif (PAK), 23.81, 62.82, 23.818, 0.00000]
[Aizaz Khan (HKG), 20, 69.51, 17.333, 0.00000]
[MD Patel (USA), 32.5, 66.32, 28.889, 22.22222]
[AR McBrine (IRE), 16.18, 72.75, 10.360, 4.00000]
[K Rabada (SA), 16.18, 77.77, 9.250, 0.00000]
[Ahmed Raza (UAE), 12.9, 55.72, 10.750, 4.16667]
[KJ Wadsworth (NZ), 28.66, 77.24, 25.800, 0.00000]
[ML Udawatte (SL), 28.55, 67.1, 28.556, 22.22222]
[SS Dighe (INDIA), 23.27, 60.8, 15.059, 5.88235]
[R Edwards (AUS), 36.42, 73.06, 31.875, 37.50000]
[AD Poynter (IRE), 19.61, 61.89, 15.938, 12.50000]
[N Vanua (PNG), 14.94, 87.88, 12.700, 0.00000]
[S Ranatunga (SL), 23, 48.09, 23.000, 18.18182]
[IP Butchart (ZIM), 18, 63.79, 15.750, 6.25000]
[NM Coulter-Nile (AUS), 16.8, 96.18, 12.000, 4.76190]
[J Edness (BMUDA), 28, 62.53, 22.909, 9.09091]
[JFM Morrison (NZ), 21, 53.38, 16.800, 6.66667]
[HA Varaiya (KENYA), 12, 51.53, 6.632, 0.00000]
[H Klaasen (SA), 22.81, 86.25, 19.308, 7.69231]
[JJ Atkinson (HKG), 27.77, 62.81, 27.778, 11.11111]
[JAH Marshall (NZ), 25, 79.87, 25.000, 10.00000]
[CT Radley (ENG), 83.33, 68.11, 62.500, 25.00000]
[AR Caddick (ENG), 12.45, 63.03, 6.553, 0.00000]
[GF Labrooy (SL), 8.58, 71.14, 6.917, 0.00000]
[JD Campbell (WI), 49.6, 115.88, 49.600, 0.00000]
[JM Parker (NZ), 12.4, 61.53, 12.400, 5.00000]
[RB Reid (NZ), 27.55, 55.35, 27.556, 22.22222]
[RH Vance (NZ), 31, 51.55, 31.000, 12.50000]
[MA Suji (KENYA), 8.23, 46.95, 4.750, 0.00000]
[A Turner (AUS), 41.16, 79.93, 41.167, 0.00000]
[K Doriga (PNG), 22.36, 63.4, 18.923, 7.69231]
[AD Mascarenhas (ENG), 22.27, 95.33, 18.846, 7.69231]
[SM Davies (ENG), 30.5, 105.62, 30.500, 12.50000]
[JP Kotze (NAM), 48.8, 91.38, 48.800, 0.00000]
[RAS Lakmal (SL), 9.38, 60.39, 5.083, 0.00000]
[Qaiser Ali (CAN), 15.25, 63.7, 14.353, 11.76471]
[RP Burl (ZIM), 20.25, 68.06, 16.200, 6.66667]
[BP Patel (INDIA), 30.37, 60.9, 27.000, 11.11111]
[PR Downton (ENG), 16.13, 67.59, 12.100, 0.00000]
[Hasan Raza (PAK), 18.61, 50.41, 18.615, 7.69231]
[MJ Di Venuto (AUS), 26.77, 85.76, 26.778, 22.22222]
[GD Drummond (SCOT), 18.46, 91.6, 12.000, 0.00000]
[DK Lillee (AUS), 9.23, 75, 7.059, 0.00000]
[CM Wright (SCOT), 16, 68.37, 13.333, 0.00000]
[Amjad Javed (UAE), 19.91, 89.51, 18.385, 7.69231]
[CRD Fernando (Asia/SL), 9.19, 60.96, 3.918, 0.00000]
[J Garner (WI), 9.19, 66.38, 5.829, 0.00000]
[T Panyangara (ZIM), 6.63, 51.61, 4.878, 0.00000]
[KJ Arnott (ZIM), 23.8, 48.47, 19.833, 25.00000]
[DC Thomas (WI), 14, 65.38, 12.526, 0.00000]
[NS Poonia (SCOT), 11.28, 62.86, 11.286, 4.76190]
[Enamul Haque (BDESH), 11.23, 49.26, 9.077, 0.00000]
[GJ Hopkins (NZ), 14.75, 75.88, 13.882, 0.00000]
[LM Jongwe (ZIM), 14.75, 77.88, 12.421, 0.00000]
[Khurram Manzoor (PAK), 33.71, 62.93, 33.714, 42.85714]
[GR Codrington (CAN), 19.58, 63.17, 15.667, 0.00000]
[JP Crawley (ENG), 21.36, 57.59, 19.583, 16.66667]
[P Khadka (NEPAL), 39.16, 82.16, 39.167, 16.66667]
[PJ Cummins (AUS), 10.17, 71.34, 6.686, 0.00000]
[Iftikhar Anjum (PAK), 15.6, 61.9, 6.882, 0.00000]
[Ikram Alikhil (AFG), 26, 60.62, 19.500, 16.66667]
[P Mustard (ENG), 23.3, 92.46, 23.300, 10.00000]
[AME Roberts (WI), 10.04, 64.7, 7.219, 0.00000]
[STR Binny (INDIA), 28.75, 93.49, 20.909, 9.09091]
[TM Chappell (AUS), 17.61, 62.73, 17.615, 0.00000]
[SHU Karnain (SL), 19.08, 59.32, 13.471, 0.00000]
[TM Dowlin (WI), 25.33, 65.51, 20.727, 9.09091]
[DR Flynn (NZ), 15.2, 63.33, 13.412, 0.00000]
[AY Karim (KENYA), 12.66, 60.8, 9.500, 4.16667]
[SR Thompson (IRE), 16.28, 90.83, 15.200, 0.00000]
[M Dillon (WI), 7.32, 55.23, 4.451, 0.00000]
[AMJ Hilditch (AUS), 28.25, 47.47, 28.250, 12.50000]
[Raza-ur-Rehman (CAN), 45, 85.87, 45.000, 60.00000]
[BP Julian (AUS), 13.17, 89.6, 13.176, 0.00000]
[KR Stackpole (AUS), 37.33, 57.88, 37.333, 50.00000]
[JH Edrich (ENG), 37.16, 68.61, 37.167, 33.33333]
[V Shankar (INDIA), 31.85, 90.65, 27.875, 0.00000]
[KM Jarvis (ZIM), 9.65, 65.87, 6.727, 0.00000]
[Aqib Ilyas (OMAN), 44.2, 78.36, 44.200, 40.00000]
[BKV Prasad (INDIA), 6.9, 60.21, 3.508, 0.00000]
[Sarfraz Nawaz (PAK), 9.6, 64.05, 7.129, 0.00000]
[Wasim Bari (PAK), 17, 51.27, 8.500, 0.00000]
[HS Baidwan (CAN), 14.66, 64.89, 10.000, 0.00000]
[DR Lockhart (SCOT), 24.22, 63.92, 19.818, 0.00000]
[Y Venugopal Rao (INDIA), 24.22, 60.05, 19.818, 9.09091]
[NR Kumar (CAN), 15.5, 54.65, 14.467, 0.00000]
[FA Rose (WI), 12.05, 81.88, 9.435, 0.00000]
[EO Simons (SA), 15.5, 73.55, 12.056, 0.00000]
[V Dahiya (INDIA), 16.61, 80.89, 14.400, 6.66667]
[WK Lees (NZ), 11.31, 70.03, 8.958, 0.00000]
[NO Perry (WI), 26.5, 62.35, 13.250, 6.25000]
[FRJ Coleman (SCOT), 15.07, 61.33, 15.071, 7.14286]
[MJ Henry (NZ), 15.07, 100, 10.048, 0.00000]
[KS Lokuarachchi (SL), 14, 80.15, 11.667, 5.55556]
[CPH Ramanayake (SL), 10, 56.14, 6.000, 0.00000]
[Tahir Naqqash (PAK), 15, 86.77, 9.130, 4.34783]
[Mushtaq Mohammad (PAK), 34.83, 59.2, 23.222, 11.11111]
[MHW Papps (NZ), 51.75, 60.52, 34.500, 33.33333]
[DL Bairstow (ENG), 14.71, 52.82, 10.300, 0.00000]
[AR Berenger (UAE), 20.5, 67.43, 20.500, 20.00000]
[PE McEwan (NZ), 13.6, 58.95, 13.600, 0.00000]
[JA Rennie (ZIM), 13.4, 51.4, 7.444, 0.00000]
[APE Knott (ENG), 20, 80.97, 14.286, 7.14286]
[NW Bracken (AUS), 11.7, 70.56, 5.686, 0.00000]
[AJ Burger (NAM), 33.16, 100.5, 33.167, 16.66667]
[Mohammad Nawaz (3) (PAK), 22.11, 93.42, 16.583, 8.33333]
[Moin-ul-Atiq (PAK), 39.8, 71.32, 39.800, 0.00000]
[M Ntini (ICC/SA), 8.65, 66.77, 4.234, 0.00000]
[Ijaz Faqih (PAK), 12.31, 56.12, 10.368, 0.00000]
[GA Lamb (ZIM), 17.9, 51.7, 14.071, 0.00000]
[MR Swart (NL), 19.7, 72.42, 17.909, 9.09091]
[T Maruma (ZIM), 11.52, 59.39, 10.889, 0.00000]
[AP Devcich (NZ), 17.72, 77.07, 17.727, 9.09091]
[GSNFG Jayasuriya (SL), 21.66, 71.42, 19.500, 10.00000]
[ASA Perera (SL), 17.72, 75.87, 15.000, 7.69231]
[Akram Raza (PAK), 17.54, 62.25, 7.720, 0.00000]
[PJ Ingram (NZ), 27.57, 81.09, 27.571, 14.28571]
[C Pringle (NZ), 8.77, 75.39, 4.707, 0.00000]
[V Rathour (INDIA), 27.57, 58.3, 27.571, 28.57143]
[Simi Singh (IRE), 14.84, 58.13, 13.786, 0.00000]
[MM Iqbal (SCOT), 24, 53.33, 16.000, 8.33333]
[CJ Smith (BMUDA), 16, 78.36, 16.000, 8.33333]
[Abid Ali (PAK), 47.75, 97.44, 47.750, 25.00000]
[DAG Fletcher (ZIM), 47.75, 66.08, 31.833, 33.33333]
[TN Madondo (ZIM), 15.91, 57.7, 14.692, 7.69231]
[Mohammad Boota (UAE), 23.87, 75.79, 21.222, 11.11111]
[Shabir Noori (AFG), 19.1, 63.66, 19.100, 10.00000]
[CJ McKay (AUS), 9.04, 56.37, 6.129, 0.00000]
[Mohammad Shahzad (UAE), 31.66, 84.44, 31.667, 33.33333]
[Usman Limbada (CAN), 18.9, 66.54, 17.182, 9.09091]
[BAW Mendis (SL), 8.17, 71.48, 4.476, 0.00000]
[TJ Murtagh (IRE), 7.83, 63.08, 5.222, 0.00000]
[T Mupariwa (ZIM), 8.4, 56.92, 5.781, 0.00000]
[SW Poynter (IRE), 13.21, 66.54, 9.737, 0.00000]
[EAE Baptiste (WI), 15.33, 76.34, 11.500, 0.00000]
[JL Ontong (Afr/SA), 13.14, 68.91, 11.500, 0.00000]
[Saadat Ali (PAK), 30.66, 53.95, 26.286, 14.28571]
[Sohag Gazi (BDESH), 15.33, 86.38, 11.500, 0.00000]
[SI de Saram (SL), 16.63, 67.77, 14.077, 0.00000]
[SJ Benn (WI), 7.91, 75.83, 6.067, 0.00000]
[SR Taylor (USA), 20.22, 68.67, 20.222, 11.11111]
[AR Patel (INDIA), 12.92, 95.26, 9.050, 0.00000]
[JR Thomson (AUS), 7.54, 64.64, 6.033, 0.00000]
[SB Bangar (INDIA), 13.84, 75.31, 12.000, 6.66667]
[DG Cork (ENG), 10, 66.42, 8.571, 0.00000]
[WF Stelling (NL), 30, 66.17, 16.364, 0.00000]
[B Warnapura (SL), 15, 43.37, 15.000, 8.33333]
[Mazhar Hussain (UAE), 25.57, 53.59, 25.571, 14.28571]
[DM Richards (WI), 25.57, 71.31, 25.571, 28.57143]
[TK Curran (ENG), 44.5, 107.22, 16.182, 0.00000]
[SC Khanna (INDIA), 22, 66.41, 17.600, 20.00000]
[TC Bastiampillai (CAN), 13.46, 58.13, 13.462, 0.00000]
[BR Blair (NZ), 14.5, 68.77, 12.429, 0.00000]
[GC Dyer (AUS), 15.81, 76.65, 13.385, 0.00000]
[MD Moxon (ENG), 21.75, 53.53, 21.750, 12.50000]
[GRJ Roope (ENG), 21.62, 50.58, 21.625, 0.00000]
[SB Doull (NZ), 12.28, 91.48, 6.370, 0.00000]
[Hasibul Hossain (BDESH), 8.6, 69.63, 6.615, 0.00000]
[BN Cooper (NL), 28.5, 92.93, 28.500, 16.66667]
[RP Lefebvre (NL), 28.5, 61.07, 15.545, 0.00000]
[DK Morrison (NZ), 9, 42.75, 3.977, 0.00000]
[I Udana (SL), 17.1, 94.47, 14.250, 8.33333]
[D Bau (PNG), 18.88, 53.29, 17.000, 0.00000]
[PS de Villiers (SA), 8.09, 77.98, 4.722, 0.00000]
[SW Masakadza (ZIM), 21.25, 96.04, 15.455, 0.00000]
[CJ Jordan (ENG), 12.07, 89.89, 8.048, 0.00000]
[J Smits (NL), 16.9, 46.94, 8.895, 0.00000]
[RA Jones (NZ), 33.6, 51.06, 33.600, 20.00000]
[AF Milne (NZ), 16.8, 101.81, 9.882, 0.00000]
[CP Rizwan (UAE), 28, 51.69, 28.000, 0.00000]
[AR Whittall (ZIM), 7.63, 54.19, 4.800, 0.00000]
[RS Gabriel (WI), 15.18, 46.38, 15.182, 0.00000]
[JE Morris (ENG), 23.85, 74.22, 20.875, 12.50000]
[Haroon Rasheed (PAK), 20.75, 52.53, 16.600, 10.00000]
[A McGrath (ENG), 16.6, 47.02, 13.833, 8.33333]
[DES Maxwell (CAN), 27.66, 69.74, 16.600, 10.00000]
[TL Chatara (ZIM), 6.6, 49.1, 3.667, 0.00000]
[Khurram Chohan (CAN), 12.69, 57.89, 8.684, 0.00000]
[JF Kloppenburg (NL), 27.5, 62.26, 27.500, 0.00000]
[MJ Lumb (ENG), 55, 81.28, 55.000, 0.00000]
[JA McCollum (IRE), 20.62, 68.75, 20.625, 25.00000]
[GAHM Parkar (INDIA), 18.33, 49.69, 16.500, 0.00000]
[D Bishoo (WI), 10.93, 62.35, 6.560, 0.00000]
[RB Kanhai (WI), 54.66, 60.07, 32.800, 40.00000]
[RR Powar (INDIA), 11.64, 62.69, 8.579, 5.26316]
[JC Tredwell (ENG), 11.64, 67.35, 6.520, 0.00000]
[Faheem Ashraf (PAK), 12.46, 83.07, 10.800, 0.00000]
[MV Nagamootoo (WI), 13.5, 60, 9.000, 0.00000]
[JTC Vaughan (NZ), 18, 62.06, 10.125, 0.00000]
[T Bavuma (SA), 80.5, 94.7, 80.500, 0.00000]
[CD Cumming (NZ), 13.41, 53.48, 12.385, 0.00000]
[SKL de Silva (SL), 53.66, 83.41, 26.833, 33.33333]
[SC Joseph (WI), 16.1, 53.31, 14.636, 9.09091]
[KMA Paul (WI), 20.12, 82.98, 14.636, 0.00000]
[E Schiferli (NL), 10.06, 73.85, 7.318, 0.00000]
[HMCM Bandara (SL), 12.3, 71.42, 9.412, 0.00000]
[PE Cantrell (NL), 32, 52.11, 32.000, 0.00000]
[MS Chapman (HKG/NZ), 40, 91.95, 32.000, 0.00000]
[JL Langer (AUS), 32, 88.88, 22.857, 0.00000]
[K Weeraratne (SL), 20, 90.39, 17.778, 0.00000]
[Saleem Raza (UAE), 26.5, 91.9, 26.500, 16.66667]
[AC Bedade (INDIA), 22.57, 86.33, 15.800, 10.00000]
[DAJ Bracewell (NZ), 15.8, 73.83, 13.167, 8.33333]
[JJ Martin (INDIA), 22.57, 47.73, 19.750, 0.00000]
[Imran Tahir (SA), 7.85, 69.77, 4.361, 0.00000]
[MP Maynard (ENG), 14.18, 69.33, 13.000, 0.00000]
[IJ Gould (ENG), 12.91, 63.78, 11.071, 0.00000]
[PM Seelaar (NL), 11.07, 63.52, 6.458, 0.00000]
[TA Boult (NZ), 9.62, 73.68, 3.949, 0.00000]
[GJ Cosier (AUS), 30.8, 92.77, 22.000, 14.28571]
[AM Ellis (NZ), 14, 83.69, 12.833, 0.00000]
[Mohammad Hussain (PAK), 30.8, 113.23, 12.833, 0.00000]
[CJ Richards (ENG), 11.84, 58.33, 9.625, 6.25000]
[RML Taylor (SCOT), 14, 89.53, 11.000, 0.00000]
[C Zhuwao (ZIM), 17.11, 116.66, 17.111, 0.00000]
[CPS Chauhan (INDIA), 21.85, 50.83, 21.857, 0.00000]
[AN Ranasinghe (SL), 21.85, 104.08, 19.125, 12.50000]
[DW Fleming (AUS), 11.69, 68.77, 4.903, 0.00000]
[MDK Perera (SL), 12.66, 76.38, 12.667, 0.00000]
[AJ Redmond (NZ), 25.33, 58.68, 25.333, 16.66667]
[MW Alleyne (ENG), 21.57, 59.21, 18.875, 12.50000]
[J Anderson (IRE), 18.87, 56.55, 18.875, 0.00000]
[RS Gavaskar (INDIA), 18.87, 64.52, 15.100, 10.00000]
[BF Hastings (NZ), 18.87, 55.71, 16.778, 0.00000]
[VD Philander (SA), 12.58, 70.89, 7.947, 0.00000]
[RG Aga (KENYA), 16.66, 71.77, 16.667, 11.11111]
[BB Chari (ZIM), 13.63, 45.18, 13.636, 0.00000]
[NA Foster (ENG), 11.53, 61.47, 6.000, 0.00000]
[GD Barlow (ENG), 29.8, 58.43, 24.833, 16.66667]
[AR Khurasiya (INDIA), 13.54, 79.25, 13.545, 9.09091]
[Khalid Latif (PAK), 29.4, 64.47, 29.400, 20.00000]
[Nazimuddin (BDESH), 13.36, 62.02, 13.364, 0.00000]
[GM Strydom (ZIM), 14.7, 65.33, 14.700, 10.00000]
[MRJ Watt (SCOT), 14.7, 72.77, 8.647, 0.00000]
[D Williams (WI), 9.18, 60.74, 6.391, 0.00000]
[JA Burns (AUS), 24.33, 79.34, 24.333, 16.66667]
[SE Findlay (WI), 20.85, 75.25, 18.250, 12.50000]
[Sompal Kami (NEPAL), 36.5, 89.02, 24.333, 16.66667]
[MP O'Dowd (NL), 145, 72.5, 72.500, 100.00000]
[AC Agar (AUS), 20.57, 86.74, 18.000, 0.00000]
[R Clarke (ENG), 11.07, 62.06, 11.077, 0.00000]
[DK Liyanage (SL), 16, 69.56, 13.091, 0.00000]
[LN Onyango (KENYA), 13.09, 76.59, 8.000, 0.00000]
[G Malla (NEPAL), 23.83, 75.66, 23.833, 16.66667]
[Abdur Rehman (PAK), 8.35, 53.99, 6.174, 0.00000]
[CM Kuggeleijn (NZ), 15.77, 63.67, 12.909, 0.00000]
[D Langford-Smith (IRE), 15.77, 106.76, 8.353, 0.00000]
[MB Loye (ENG), 20.28, 77.17, 20.286, 0.00000]
[K Zondo (SA), 35.5, 63.39, 28.400, 20.00000]
[DE Bernard (WI), 14.1, 64.38, 11.750, 0.00000]
[ARC Fraser (ENG), 12.81, 67.78, 7.050, 0.00000]
[OD Gibson (WI), 14.1, 102.17, 12.818, 9.09091]
[CR Matthews (SA), 10.84, 69.8, 6.409, 0.00000]
[A Nehra (Asia/INDIA), 5.64, 57.31, 3.065, 0.00000]
[Shahid Saeed (PAK), 14.1, 44.62, 14.100, 10.00000]
[VJ Wells (ENG), 20.14, 55.73, 20.143, 0.00000]
[AF Buurman (NL), 15.55, 78.21, 12.727, 0.00000]
[HMRKB Herath (SL), 9.33, 64.51, 4.667, 0.00000]
[Rubel Hossain (BDESH), 5, 56.22, 2.692, 0.00000]
[JM Wiener (AUS), 20, 43.2, 20.000, 14.28571]
[MV Fleming (ENG), 15.44, 101.45, 13.900, 0.00000]
[KH MacLeay (AUS), 12.63, 81.76, 10.692, 0.00000]
[EAR de Silva (SL), 9.85, 57.26, 6.900, 0.00000]
[GN Edwards (NZ), 23, 72.25, 23.000, 0.00000]
[KA Hope (WI), 23, 71.87, 23.000, 0.00000]
[S Samarawickrama (SL), 19.71, 83.63, 19.714, 14.28571]
[RJ Bailey (ENG), 68.5, 69.89, 34.250, 0.00000]
[RM Hogg (AUS), 9.13, 63.13, 3.914, 0.00000]
[APB Tennekoon (SL), 34.25, 66.18, 34.250, 25.00000]
[ST Finn (ENG), 8, 60.98, 4.533, 0.00000]
[G Miller (ENG), 8.5, 51.32, 7.556, 0.00000]
[Mohammed Shami (INDIA), 7.55, 82.92, 4.000, 0.00000]
[LG Rowe (WI), 17, 55.73, 17.000, 12.50000]
[KD Shah (HKG), 15.11, 57.14, 13.600, 0.00000]
[R Vijay Bharadwaj (INDIA), 27.2, 70.1, 15.111, 0.00000]
[SRD Wettimuny (SL), 68, 56.19, 45.333, 66.66667]
[D Pretorius (SA), 15, 93.1, 13.500, 10.00000]
[PA Browne (WI), 33.5, 74.86, 26.800, 0.00000]
[TS Chisoro (ZIM), 14.88, 61.46, 8.933, 0.00000]
[Krishna Chandran (UAE), 16.75, 48.9, 13.400, 0.00000]
[Arshad Khan (PAK), 12.09, 61.29, 4.586, 0.00000]
[MD Bell (NZ), 19, 49.62, 19.000, 14.28571]
[RJ Sidebottom (ENG), 13.3, 68.55, 7.389, 0.00000]
[RK Chauhan (INDIA), 10.15, 77.19, 7.333, 0.00000]
[D Keulder (NAM), 22, 60, 22.000, 16.66667]
[Bazid Khan (PAK), 26.2, 56.46, 26.200, 40.00000]
[MSK Prasad (INDIA), 14.55, 58.22, 11.909, 9.09091]
[Sajid Ali (PAK), 10.83, 44.36, 10.833, 0.00000]
[RW Taylor (ENG), 13, 41.66, 7.647, 0.00000]
[RJ Trott (BMUDA), 21.66, 52.2, 13.000, 0.00000]
[TJ Zoehrer (AUS), 10.83, 71.03, 8.667, 6.66667]
[KTGD Prasad (SL), 21.5, 88.35, 10.750, 0.00000]
[Shafiul Islam (BDESH), 5.86, 54.89, 3.909, 0.00000]
[BOP Fernando (SL), 21.33, 63.05, 21.333, 0.00000]
[FC Hayes (ENG), 25.6, 54.46, 21.333, 16.66667]
[Khawar Ali (OMAN), 32, 50, 25.600, 20.00000]
[DT Hondo (ZIM), 7.47, 51, 4.379, 0.00000]
[TE Jesty (ENG), 21.16, 69.78, 12.700, 10.00000]
[A Nel (SA), 12.7, 76.5, 5.773, 0.00000]
[Yasir Shah (PAK), 18.14, 85.23, 9.769, 0.00000]
[SJ Baard (NAM), 25.2, 63.31, 25.200, 20.00000]
[Basil Hameed (UAE), 63, 71.18, 42.000, 33.33333]
[Dhiman Ghosh (BDESH), 14, 62.68, 10.500, 0.00000]
[MG Erasmus (NAM), 25.2, 74.55, 25.200, 20.00000]
[M Kartik (INDIA), 14, 70.78, 9.000, 0.00000]
[TRO Payne (WI), 31.5, 52.5, 31.500, 25.00000]
[CP Senanayake (SL), 18, 59.71, 18.000, 0.00000]
[PA Jaques (AUS), 20.83, 71.02, 20.833, 16.66667]
[MC Sorensen (IRE), 20.83, 80.64, 15.625, 0.00000]
[AJ Turner (AUS), 62.5, 145.34, 41.667, 33.33333]
[AIC Dodemaide (AUS), 13.77, 77.98, 7.750, 0.00000]
[ZE Green (NAM), 24.8, 68.13, 24.800, 0.00000]
[A Maregwede (ZIM), 12.4, 56.88, 11.273, 0.00000]
[JA Samarasekera (UAE), 31, 57.67, 20.667, 0.00000]
[M van Jaarsveld (SA), 20.66, 73.37, 17.714, 0.00000]
[LR Williams (WI), 11.27, 66.66, 9.538, 0.00000]
[Ziaur Rahman (BDESH), 11.27, 112.72, 11.273, 0.00000]
[CD de Lange (SCOT), 20.5, 61.5, 12.300, 0.00000]
[BM Duckett (ENG), 41, 80.92, 41.000, 66.66667]
[GA Paterson (ZIM), 12.3, 37.61, 12.300, 0.00000]
[J Arun Lal (INDIA), 9.38, 52.58, 9.385, 7.69231]
[RL Bhudia (KENYA), 24.4, 98.38, 24.400, 0.00000]
[CRM Douglas (BMUDA), 61, 55.96, 61.000, 100.00000]
[BA Parchment (WI), 17.42, 56.22, 17.429, 0.00000]
[SK Gupta (KENYA), 13.44, 55, 12.100, 0.00000]
[GJAF Aponso (NL), 30, 48.58, 30.000, 25.00000]
[L Balaji (INDIA), 12, 78.94, 7.500, 0.00000]
[Shahid Mahboob (PAK), 23.8, 61.34, 19.833, 16.66667]
[EJ Chatfield (NZ), 10.72, 34.1, 2.458, 0.00000]
[DBL Powell (WI), 5.36, 71.95, 4.720, 0.00000]
[JN Snape (ENG), 29.5, 68.2, 16.857, 0.00000]
[V Yadav (INDIA), 11.8, 101.72, 9.833, 0.00000]
[MR Adair (IRE), 19.5, 115.84, 14.625, 0.00000]
[DH Brain (ZIM), 8.35, 68.42, 6.500, 0.00000]
[NB Mahwire (ZIM), 10.63, 46.98, 6.158, 0.00000]
[FL Reifer (WI), 14.62, 51.09, 14.625, 0.00000]
[Arshad Ayub (INDIA), 11.6, 71.6, 6.824, 0.00000]
[Azam Khan (PAK), 23.2, 65.53, 23.200, 20.00000]
[PH Edmonds (ENG), 10.54, 50, 6.444, 0.00000]
[Hamza Tariq (CAN), 16.57, 73.88, 16.571, 14.28571]
[Tauseef Ahmed (PAK), 10.54, 53.7, 4.640, 0.00000]
[PWH de Silva (SL), 14.37, 103.6, 11.500, 0.00000]
[GK Khoda (INDIA), 57.5, 62.16, 57.500, 50.00000]
[GD McGrath (AUS/ICC), 3.83, 48.72, 1.691, 0.00000]
[MA Carberry (ENG), 19, 63.33, 19.000, 16.66667]
[C Carter (HKG), 12.66, 61.29, 12.667, 0.00000]
[GR Dilley (ENG), 11.4, 85.71, 6.333, 0.00000]
[FM Engineer (INDIA), 38, 58.46, 28.500, 25.00000]
[KD Ghavri (INDIA), 11.4, 58.76, 7.125, 0.00000]
[MO Jones (BMUDA), 11.3, 75.83, 9.417, 0.00000]
[DL Maddy (ENG), 18.83, 54.85, 18.833, 16.66667]
[Naved Anjum (PAK), 12.55, 73.37, 9.417, 0.00000]
[MJ Cosgrove (AUS), 37.33, 96.55, 37.333, 33.33333]
[JN Frylinck (NAM), 37.33, 115.46, 22.400, 20.00000]
[K Gore (USA), 22.4, 65.49, 16.000, 0.00000]
[Haseeb Amjad (HKG), 22.4, 131.76, 18.667, 0.00000]
