[VC Drakes (WI), 7.83, 54.02, 5.529, 0.00000]
[Mohammed Qasim (UAE), 18.8, 50, 18.800, 0.00000]
[PVD Chameera (SL), 13.28, 62, 6.643, 0.00000]
[V Mehra (UAE), 18.4, 45.54, 15.333, 0.00000]
[BC Strang (ZIM), 5.11, 41.81, 3.538, 0.00000]
[SJ Harmison (ENG), 8.27, 64.53, 3.640, 0.00000]
[JV Harris (CAN), 15.16, 44.6, 15.167, 0.00000]
[SG Peall (ZIM), 6.5, 60.66, 6.067, 0.00000]
[VB Chandrasekhar (INDIA), 12.57, 54.32, 12.571, 14.28571]
[AJ Traicos (ZIM), 11, 50.28, 5.176, 0.00000]
[Anil Dalpat (PAK), 12.42, 63.97, 8.700, 0.00000]
[BD Julien (WI), 14.33, 58.1, 10.750, 0.00000]
[AD Mullally (ENG), 5.73, 36.13, 3.440, 0.00000]
[WB Rankin (ENG/IRE), 6.61, 43.43, 2.688, 0.00000]
[R Vinay Kumar (INDIA), 9.55, 58.9, 6.615, 0.00000]
[W Watson (NZ), 7.81, 47.77, 3.583, 0.00000]
[PB Dassanayake (SL), 10.62, 59.85, 8.500, 0.00000]
[IG Butler (NZ), 10.5, 54.54, 6.462, 0.00000]
[VB John (SL), 9.33, 55.26, 4.421, 0.00000]
[OAC Banks (WI), 16.6, 55.7, 16.600, 0.00000]
[R Strydom (IRE), 13.83, 53.54, 13.833, 0.00000]
[RGD Willis (ENG), 10.37, 52.86, 3.773, 0.00000]
[LJ Koen (SA), 16.4, 48.52, 16.400, 0.00000]
[AM Phangiso (SA), 7.36, 50, 6.231, 0.00000]
[GA Rogers (SCOT), 16.2, 47.92, 10.125, 0.00000]
[Shahid Wasif (HKG), 11.57, 49.69, 11.571, 0.00000]
[Syed Rasel (BDESH), 5.06, 43.78, 3.000, 0.00000]
[TR Gripper (ZIM), 10, 42.78, 10.000, 0.00000]
[SK Sharma (INDIA), 10, 59.25, 6.667, 0.00000]
[S Badrinath (INDIA), 15.8, 45.93, 13.167, 0.00000]
[Shahadat Hossain (BDESH), 7.9, 52.31, 2.926, 0.00000]
